chanID,unitID,keep,notes
193,31,.5,60Hz artifact
193,810,,
193,883,1,
193,902,,
193,929,1,
194,40,,
194,247,,
194,248,,
194,250,.5,60Hz artifact
195,53,,
195,454,,
195,560,,
195,572,,
195,597,,
195,598,,
195,633,.5,60Hz artifact
196,60,,
196,181,.5,60Hz artifact
196,328,.5,60Hz artifact
196,358,,
197,44,.5,
197,166,,
197,191,.5,60Hz artifact
197,297,.5,60Hz artifact
198,74,,
198,414,,
198,421,,
198,433,.5,60Hz artifact
198,496,.5,60Hz artifact
199,2436,1,FR fluctuation
199,2472,1,FR fluctuation
199,2477,1,FR fluctuation
199,2499,,
200,704,.5,60Hz artifact
200,743,,
200,753,,
200,832,,
200,850,,
200,877,,
200,889,1,
200,922,.5,FR fluctuation
201,1360,,
201,2103,,
201,2271,1,
201,2276,.5,thick waveform
201,2283,1,
201,2352,,
202,1173,,
202,1361,,
202,1440,,
202,1657,,
203,1312,,
203,1324,,
203,1325,,
204,182,,
204,1091,,
204,1427,.5,FR fluctuation
204,1726,1,
204,1746,,
204,1751,,
204,1770,.5,thick waveform
204,1785,,
204,1858,.5,low FR
205,541,,
205,1075,,
205,1341,.5,60Hz artifact
205,1343,,
206,1349,,
206,1497,,
206,1532,,
206,1540,.5,thick waveform
206,1545,,
206,1550,,
206,1554,.5,thick waveform
206,1555,,
206,1566,,
207,429,,
207,1894,,
207,1918,,
207,1946,,
207,1951,,
208,1127,,
208,1284,,
208,1301,,
208,1329,,
208,1336,.5,thick waveform
208,1349,.5,thick waveform
