thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_cross.started,no_resp_text.stopped,three_cross.stopped,feedback.stopped,correct,outcome,three_coin.started,three_coin.stopped,one_coin.started,one_coin.stopped,one_cross.started,one_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,15,1.5,-0.1,1.0,0.384,curv,flat_curv,0.0,0.0,0.1,pen,input_data/stims/Shape_1.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,-1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,"['left', 'left']","[0.8013007000000698, 1.2011837000000014]","[0.1598566000000119, None]",up,1.9370321000000104,None,0,0,0,0,0,0,0,15,22.627370799999994,,0.24038519999999153,0.25180909999994583,0.25180909999994583,0.25180909999994583,21.427569500000004,up,21.16914989999998,None,21.43259409999996,21.44398130000002,21.44398130000002,22.594222100000025,up,1.1369406999999683,None,22.62255379999999,0.02832069999999476,23.556843400000048,23.557286500000032,23.562037300000043,24.560765800000013,24.544343700000013,24.544778599999972,0.00044519999994463433,25.978977299999997,25.980295599999977,25.995707400000015,25.995707400000015,25.995707400000015,25.995707400000015,25.995707400000015,25.995707400000015,25.995707400000015,27.945617500000026,"[0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.384, 0.376, 0.368, 0.36, 0.352, 0.344, 0.336, 0.328, 0.32, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.304, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048]",None,None,"['left', 'left']","[0.8013007000000698, 1.2011837000000014]","[0.1598566000000119, None]",up,1.9370321000000104,None,27.946030999999948,27.960861000000023,28.210860600000046,28.19431929999996,28.19473119999998,28.210860600000046,28.210860600000046,29.21089010000003,29.21089010000003,29.194354299999986,0,-3,,,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
1,1,0,1,1,baseline,14,1.5,-0.1,3.0,-0.34,curv,curv_flat,0.0,0.0,-0.1,pen,input_data/stims/Shape_1.50_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,-1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['right'],[0.9752010000000837],[None],up,1.975145100000077,None,0,0,0,0,0,1,1,14,29.21089010000003,,,,,,,,,,,,,,,,,29.195058300000028,0.0007043000000521715,30.179307900000026,30.179958899999974,30.19422159999999,31.194276100000025,31.177748199999996,31.178177499999947,0.0004403000000365864,32.66295170000001,32.6642736,32.67765769999994,32.67765769999994,32.67765769999994,32.67765769999994,32.67765769999994,32.67765769999994,32.67765769999994,34.662484500000005,"[-0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.252, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148]",None,None,['right'],[0.9752010000000837],[None],up,1.975145100000077,None,34.66286179999997,34.67771579999999,34.92771359999995,34.91119549999996,34.911605699999996,34.92771359999995,34.92771359999995,35.92778599999997,35.92778599999997,35.91126510000004,0,-3,,,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
2,2,0,1,1,baseline,38,3.9,0.38,3.0,-0.008,flat,curv_flat,0.0,0.0,0.38,rew,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,"['right', 'right']","[0.96640960000002, 1.5264113000000634]","[0.2479108999999653, 0.2880056000000195]",up,1.8544276000000082,None,0,0,0,0,0,2,2,38,35.92778599999997,,,,,,,,,,,,,,,,,35.911922900000036,0.0006607999999914682,36.895600700000045,36.896035299999994,36.91111980000005,37.91112390000001,37.89463490000003,37.89506549999999,0.0004406000000471977,39.280026099999986,39.28126439999994,39.29448249999996,39.29448249999996,39.29448249999996,39.29448249999996,39.29448249999996,39.29448249999996,39.29448249999996,41.1623343,"[-0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.048, 0.056, 0.064, 0.072, 0.08, 0.088, 0.096, 0.104, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.12, 0.128, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208, 0.216, 0.224, 0.232, 0.24, 0.248, 0.248, 0.248, 0.248, 0.248]",None,None,"['right', 'right']","[0.96640960000002, 1.5264113000000634]","[0.2479108999999653, 0.2880056000000195]",up,1.8544276000000082,None,41.16275940000003,41.17795220000005,41.42794040000001,41.4114237,41.41185059999998,41.42794040000001,,42.42797780000001,,42.41148989999999,1,3,41.42794040000001,42.42797780000001,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
3,3,0,1,1,baseline,4,0.5,-0.3,1.0,0.124,curv,curv_flat,0.0,0.0,-0.3,pen,input_data/stims/Shape_0.50_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,-1.0,-1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['left'],[0.6858803999999736],[0.7359096000000136],up,1.5417936000000054,None,0,0,0,0,0,3,3,4,42.42797780000001,,,,,,,,,,,,,,,,,42.41212680000001,0.0006401000000550994,43.39674519999994,43.39719619999994,43.41145700000004,44.41147590000003,44.39512239999999,44.39556240000002,0.0004513000000088141,45.67965479999998,45.68109900000002,45.695024200000034,45.695024200000034,45.695024200000034,45.695024200000034,45.695024200000034,45.695024200000034,45.695024200000034,47.24660410000001,"[0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228]",None,None,['left'],[0.6858803999999736],[0.7359096000000136],up,1.5417936000000054,None,47.247056199999975,47.26175260000002,47.51175049999995,47.4957177,47.4961442,47.51175049999995,,48.51179149999996,,48.49504590000004,1,1,,,47.51175049999995,48.51179149999996,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
4,4,0,1,1,baseline,2,0.3,-0.34,1.0,-0.228,curv,curv_flat,0.0,0.0,-0.34,pen,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,-1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['left'],[0.6420657999999548],[0.2640314000000217],up,1.0261439999999311,None,0,0,0,0,0,4,4,2,48.51179149999996,,,,,,,,,,,,,,,,,48.495675000000006,0.0006339999999909196,49.480234300000006,49.480636900000036,49.49563899999998,50.49561300000005,50.478692799999976,50.479126199999996,0.0004442000000608459,51.96283979999998,51.96414800000002,51.97885169999995,51.97885169999995,51.97885169999995,51.97885169999995,51.97885169999995,51.97885169999995,51.97885169999995,53.012951199999975,"[-0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.236, -0.244, -0.252, -0.26, -0.268, -0.276, -0.284, -0.292, -0.3, -0.308, -0.316, -0.324, -0.332, -0.34, -0.348, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356]",None,None,['left'],[0.6420657999999548],[0.2640314000000217],up,1.0261439999999311,None,53.01332060000004,53.02862019999998,53.27862230000005,53.262078599999995,53.26247030000002,53.27862230000005,,54.278653299999974,,54.26214589999995,1,1,,,53.27862230000005,54.278653299999974,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
5,5,0,1,1,baseline,16,1.7,-0.06,1.0,0.288,curv,curv_flat,0.0,0.0,-0.06,pen,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,-1.0,-1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,"['left', 'right']","[0.8555593999999473, 1.423607699999934]","[0.3360402000000704, None]",up,1.567614400000025,None,0,0,0,0,0,5,5,16,54.278653299999974,,,,,,,,,,,,,,,,,54.26277189999996,0.0006279000000404267,55.14679860000001,55.14719009999999,55.16197629999999,56.16227709999998,56.14727919999996,56.14771059999998,0.0004410999999890919,57.582873800000016,57.5843787,57.597267500000044,57.597267500000044,57.597267500000044,57.597267500000044,57.597267500000044,57.597267500000044,57.597267500000044,59.180437900000015,"[0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208]",None,None,"['left', 'right']","[0.8555593999999473, 1.423607699999934]","[0.3360402000000704, None]",up,1.567614400000025,None,59.18084759999999,59.19724180000003,59.44567289999998,59.429164900000046,59.42957309999997,59.44567289999998,59.44567289999998,60.44590049999999,60.44590049999999,60.428990099999965,0,-3,,,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
6,6,0,1,1,baseline,32,3.3,0.26,1.0,-0.036,flat,curv_flat,0.0,0.0,0.26,rew,input_data/stims/Shape_3.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,-1.0,1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['right'],[0.6300169999999525],[0.37599180000006527],up,1.2859355000000505,None,0,0,0,0,0,6,6,32,60.44590049999999,,,,,,,,,,,,,,,,,60.429599800000005,0.000611199999980272,61.31327139999996,61.31367020000005,61.328818299999966,62.328830100000005,62.31232079999995,62.31274829999995,0.00043740000000980217,63.648130599999945,63.649381999999946,63.66286949999994,63.66286949999994,63.66286949999994,63.66286949999994,63.66286949999994,63.66286949999994,63.66286949999994,64.96333270000002,"[-0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148]",None,None,['right'],[0.6300169999999525],[0.37599180000006527],up,1.2859355000000505,None,64.96370200000001,64.97893820000002,65.22891800000002,65.21241080000004,65.2128305,65.22891800000002,,66.22899340000004,,66.21246810000002,1,3,65.22891800000002,66.22899340000004,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
7,7,0,1,1,baseline,10,1.1,-0.18,3.0,-0.128,curv,curv_flat,0.0,0.0,-0.18,pen,input_data/stims/Shape_1.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,-1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['left'],[0.724680899999953],[0.23201159999996435],up,1.0607559000000037,None,0,0,0,0,0,7,7,10,66.22899340000004,,,,,,,,,,,,,,,,,66.21306990000005,0.0006028999999898588,67.2468457,67.24723300000005,67.26231640000003,68.2623582,68.2463143,68.24680169999999,0.0004992000000356711,69.68052550000004,69.68213119999996,69.69618230000003,69.69618230000003,69.69618230000003,69.69618230000003,69.69618230000003,69.69618230000003,69.69618230000003,70.76345049999998,"[-0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24]",None,None,['left'],[0.724680899999953],[0.23201159999996435],up,1.0607559000000037,None,70.7638617,70.77912919999994,71.02919580000002,71.01257720000001,71.01301000000001,71.02919580000002,,72.02920310000002,,72.0127162,1,1,,,71.02919580000002,72.02920310000002,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
8,8,0,1,1,baseline,29,2.9,0.18,3.0,0.28,flat,flat_curv,0.0,0.0,-0.18,rew,input_data/stims/Shape_2.90_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['left'],[0.7962532000000238],[None],up,1.4201600000000099,None,0,0,0,0,0,8,8,29,72.02920310000002,,,,,,,,,,,,,,,,,72.01337249999995,0.0006408000000419634,73.09754650000002,73.09843969999997,73.11248890000002,74.11250859999996,74.09647370000005,74.0969106,0.0004476000000295244,75.48041479999995,75.48171820000005,75.49664900000005,75.49664900000005,75.49664900000005,75.49664900000005,75.49664900000005,75.49664900000005,75.49664900000005,76.93075060000001,"[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032]",None,None,['left'],[0.7962532000000238],[None],up,1.4201600000000099,None,76.9311444,76.94643289999999,77.19640789999994,77.17940199999998,77.17982740000002,77.19640789999994,,78.19641130000002,,78.17946629999994,1,3,77.19640789999994,78.19641130000002,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
9,9,0,1,1,baseline,23,2.3,0.06,3.0,0.14,flat,flat_curv,0.0,0.0,-0.06,rew,input_data/stims/Shape_2.30_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['left'],[0.534458299999983],[None],up,1.0943268999999418,None,0,0,0,0,0,9,9,23,78.19641130000002,,,,,,,,,,,,,,,,,78.18011739999997,0.0006542999999510357,79.21450600000003,79.214969,79.22931830000005,80.22934869999995,80.21284479999997,80.21328930000004,0.0004543999999668813,81.64873090000003,81.65018480000003,81.6625477,81.6625477,81.6625477,81.6625477,81.6625477,81.6625477,81.6625477,82.7641453,"[0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132]",None,None,['left'],[0.534458299999983],[None],up,1.0943268999999418,None,82.76452359999996,82.7794222,83.02941799999996,83.0129389,83.01333469999997,83.02941799999996,,84.02944969999999,,84.01296100000002,1,3,83.02941799999996,84.02944969999999,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
10,10,0,1,1,baseline,0,0.1,-0.38,1.0,-0.328,curv,curv_flat,0.0,0.0,-0.38,pen,input_data/stims/Shape_0.10_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,-1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['left'],[1.0919205000000147],[0.19205079999994723],up,1.315821000000028,None,0,0,0,0,0,10,10,0,84.02944969999999,,,,,,,,,,,,,,,,,84.01359579999996,0.0006376000000045678,84.94880709999995,84.94925909999995,84.9632987,85.96283259999996,85.94680630000005,85.947228,0.00043190000008053175,87.28079290000005,87.28204759999994,87.29702150000003,87.29702150000003,87.29702150000003,87.29702150000003,87.29702150000003,87.29702150000003,87.29702150000003,88.61408389999997,"[-0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.336, -0.344, -0.352, -0.36, -0.368, -0.376, -0.384, -0.392, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4]",None,None,['left'],[1.0919205000000147],[0.19205079999994723],up,1.315821000000028,None,88.61453119999999,88.62958409999999,88.8795791,88.86305779999998,88.86348190000001,88.8795791,,89.87961099999995,,89.86313050000001,1,1,,,88.8795791,89.87961099999995,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
11,11,0,1,1,baseline,35,3.5,0.3,3.0,0.196,flat,flat_curv,0.0,0.0,-0.3,rew,input_data/stims/Shape_3.50_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,1,up,21.16914989999998,None,up,1.1369406999999683,None,None,None,['left'],[0.784178699999984],[None],up,1.3759367000000111,None,0,0,0,0,0,11,11,35,89.87961099999995,,,,,,,,,,,,,,,,,89.86372589999996,0.0005965000000287546,90.94881559999999,90.94922589999999,90.96278670000004,91.9630138,91.94702310000002,91.94745669999998,0.00044200000002092565,93.38228030000005,93.38353329999995,93.39688490000003,93.39688490000003,93.39688490000003,93.39688490000003,93.39688490000003,93.39688490000003,93.39688490000003,94.78111460000002,"[0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.188, 0.18, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092]",None,None,['left'],[0.784178699999984],[None],up,1.3759367000000111,None,94.78148309999995,94.79696330000002,95.04643659999999,95.03182030000005,95.03222159999996,95.04643659999999,,96.04693429999998,,96.0300661,1,3,95.04643659999999,96.04693429999998,,,,,,,,,,,,,,202604,,C,2026-08-01_12h45.50.488,valence_final_v2,2024.2.4,60,2026-08-01 12h46.07.947797 -0600,
