thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_coin.started,no_resp_text.stopped,three_coin.stopped,feedback.stopped,correct,outcome,one_coin.started,one_coin.stopped,one_cross.started,one_cross.stopped,three_cross.started,three_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,marker.stopped,slider_resp.stopped,submit_resp.stopped,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,4,2,baseline,136,1.7,-0.06,3.0,0.064,curv,curv_flat,0.0,0.0,-0.06,rew,input_data/stims/Shape_1.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,1.0,1.0,-1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,"['left', 'left']","[0.5278915000380948, 0.9918899000622332]","[0.2720218999311328, 0.06421989994123578]",up,1.056109800003469,None,0,0,0,0,0,0,0,16,18.982191700022668,,0.20777420001104474,0.2214257000014186,0.2214257000014186,0.2214257000014186,17.949131299974397,up,17.719282099977136,None,17.954067099955864,17.965866399928927,17.965866399928927,18.9491017999826,up,0.9748283999506384,None,18.975970200030133,0.02685280004516244,20.061145199928433,20.06166389991995,20.082239900017157,21.082258899929002,21.06611170002725,21.066536800004542,0.0004347999347373843,22.501192299998365,22.502660600002855,22.516713900025934,22.516713900025934,22.516713900025934,22.516713900025934,22.516713900025934,22.516713900025934,22.516713900025934,23.58356239995919,"[0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.08, -0.088, -0.096, -0.104, -0.104]",None,None,"['left', 'left']","[0.5278915000380948, 0.9918899000622332]","[0.2720218999311328, 0.06421989994123578]",up,1.056109800003469,None,23.583962899981998,23.59899420000147,23.848993199993856,23.83246649999637,23.83287039992865,23.848993199993856,23.848993199993856,24.8490310999332,24.8490310999332,24.832873599953018,1,3,,,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
1,1,0,4,2,baseline,126,0.7,-0.26,3.0,-0.312,curv,curv_flat,0.0,0.0,-0.26,rew,input_data/stims/Shape_0.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,-1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,"['right', 'right']","[0.5104899000143632, 1.1348010000074282]","[0.22401579993311316, 0.15968329994939268]",up,1.47855250001885,None,0,0,0,0,0,1,1,6,24.8490310999332,,,,,,,,,,,,,,,,,24.833505099988542,0.0006304999114945531,25.717811799957417,25.718672899995,25.73239359993022,26.73241399996914,26.716320400009863,26.716745399986394,0.00043489993549883366,28.151455299928784,28.153054099995643,28.166181799955666,28.166181799955666,28.166181799955666,28.166181799955666,28.166181799955666,28.166181799955666,28.166181799955666,29.65055110002868,"[-0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.304, -0.296, -0.288, -0.28, -0.272, -0.264, -0.256, -0.248, -0.24, -0.232, -0.224, -0.216, -0.208, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.2, -0.192, -0.184, -0.176, -0.168, -0.16, -0.152, -0.144, -0.136, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128]",None,None,"['right', 'right']","[0.5104899000143632, 1.1348010000074282]","[0.22401579993311316, 0.15968329994939268]",up,1.47855250001885,None,29.650936299934983,29.666216399986297,29.916250800015405,29.899308099993505,29.89969290001318,29.916250800015405,29.916250800015405,30.91586930002086,30.91586930002086,30.899486399954185,1,3,,,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
2,2,0,4,2,baseline,148,2.9,0.18,1.0,-0.092,flat,curv_flat,0.0,0.0,0.18,pen,input_data/stims/Shape_2.90_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,['right'],[0.36800759995821863],[0.36804560001473874],up,0.8960504999849945,None,0,0,0,0,0,2,2,28,30.91586930002086,,,,,,,,,,,,,,,,,30.900075700017624,0.0005905999569222331,31.785356499953195,31.78579599992372,31.799607899971306,32.79939689999446,32.7828998999903,32.78334520000499,0.00045549997594207525,34.1178796000313,34.11943640001118,34.13262029993348,34.13262029993348,34.13262029993348,34.13262029993348,34.13262029993348,34.13262029993348,34.13262029993348,35.03399709996302,"[-0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084]",None,None,['right'],[0.36800759995821863],[0.36804560001473874],up,0.8960504999849945,None,35.03438329999335,35.04931849997956,35.299705900019035,35.28279349999502,35.28318989998661,35.299705900019035,,36.299346899962984,,36.28284499992151,1,1,35.299705900019035,36.299346899962984,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
3,3,0,4,2,baseline,153,3.3,0.26,1.0,0.136,flat,flat_curv,0.0,0.0,-0.26,pen,input_data/stims/Shape_3.30_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,"['right', 'left']","[0.2784807999851182, 0.5183754999889061]","[0.1920316000469029, 0.5760383000597358]",up,1.2784684000071138,None,0,0,0,0,0,3,3,33,36.299346899962984,,,,,,,,,,,,,,,,,36.28344129992183,0.0006001000292599201,37.21729009994306,37.217822699924,37.23307429999113,38.232727300026454,38.21635449992027,38.216785999946296,0.00044219999108463526,39.55115559999831,39.55244619993027,39.56622169993352,39.56622169993352,39.56622169993352,39.56622169993352,39.56622169993352,39.56622169993352,39.56622169993352,40.85048299992923,"[0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208, 0.216, 0.224, 0.232, 0.232, 0.232, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04]",None,None,"['right', 'left']","[0.2784807999851182, 0.5183754999889061]","[0.1920316000469029, 0.5760383000597358]",up,1.2784684000071138,None,40.85085930000059,40.866531000006944,41.116560800001025,41.099662599968724,41.10005120001733,41.116560800001025,,42.116180400014855,,42.09970010002144,1,1,41.116560800001025,42.116180400014855,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
4,4,0,4,2,baseline,137,1.7,-0.06,1.0,0.296,curv,flat_curv,0.0,0.0,0.06,rew,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,-1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,None,,,up,0.8270485000684857,None,0,0,0,0,0,4,4,17,42.116180400014855,,,,,,,,,,,,,,,,,42.10030269995332,0.0006055000703781843,42.98469229997136,42.98512249998748,42.99954929994419,43.99981539999135,43.983771099941805,43.98421589995269,0.00045540009159594774,45.419580699992366,45.421033299993724,45.433631299994886,45.433631299994886,45.433631299994886,45.433631299994886,45.433631299994886,45.433631299994886,45.433631299994886,46.268118700012565,"[0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296]",None,None,None,,,up,0.8270485000684857,None,46.268486400018446,46.28374779992737,46.53373799996916,46.517257099971175,46.52572859998327,46.53373799996916,,47.53366999991704,,47.51730589999352,0,-1,,,46.53373799996916,47.53366999991704,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
5,5,0,4,2,baseline,128,0.9,-0.22,3.0,-0.396,curv,curv_flat,0.0,0.0,-0.22,rew,input_data/stims/Shape_0.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,-1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,"['left', 'right', 'left']","[0.4016961999004707, 0.681688699987717, 1.0896717999130487]","[0.23207940009888262, 0.2879915999947116, 0.16016129998024553]",up,1.3536301999120042,None,0,0,0,0,0,5,5,8,47.53366999991704,,,,,,,,,,,,,,,,,47.51800069992896,0.0006979999598115683,48.60167789994739,48.60207799996715,48.617196399951354,49.617187099996954,49.6006297999993,49.60105349996593,0.0004352000541985035,51.035132999997586,51.03641289996449,51.05099409993272,51.05099409993272,51.05099409993272,51.05099409993272,51.05099409993272,51.05099409993272,51.05099409993272,52.418269800022244,"[-0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.388, -0.38, -0.372, -0.364, -0.356, -0.348, -0.34, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.26, -0.268, -0.276, -0.284, -0.292, -0.3, -0.308, -0.316, -0.324, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332]",None,None,"['left', 'right', 'left']","[0.4016961999004707, 0.681688699987717, 1.0896717999130487]","[0.23207940009888262, 0.2879915999947116, 0.16016129998024553]",up,1.3536301999120042,None,52.41866009996738,52.43392949993722,52.68391130003147,52.667401999933645,52.66825170000084,52.68391130003147,52.68391130003147,53.68388769996818,53.68388769996818,53.666957999928854,1,3,,,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
6,6,0,4,2,baseline,127,0.7,-0.26,3.0,-0.228,curv,flat_curv,0.0,0.0,0.26,rew,input_data/stims/Shape_0.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,-1.0,1.0,-1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,['right'],[0.633992400020361],[0.8959510000422597],up,1.7619583000196144,None,0,0,0,0,0,6,6,7,53.68388769996818,,,,,,,,,,,,,,,,,53.66756259999238,0.0006070999661460519,54.652020899928175,54.652531199972145,54.667297299951315,55.66733059997205,55.650815499946475,55.65123299998231,0.00042720010969787836,57.03555949998554,57.036784299998544,57.050733499927446,57.050733499927446,57.050733499927446,57.050733499927446,57.050733499927446,57.050733499927446,57.050733499927446,58.81752849998884,"[-0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.188, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196, 0.196]",None,None,['right'],[0.633992400020361],[0.8959510000422597],up,1.7619583000196144,None,58.817934899940155,58.83319879998453,59.08319479995407,59.06671990000177,59.06710099999327,59.08319479995407,59.08319479995407,60.0832320000045,60.0832320000045,60.06672589993104,1,3,,,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
7,7,0,4,2,baseline,125,0.5,-0.3,1.0,0.016,curv,flat_curv,0.0,0.0,0.3,rew,input_data/stims/Shape_0.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,-1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,['right'],[0.4606338000157848],[0.4480548999272287],up,1.1006950999144465,None,0,0,0,0,0,7,7,5,60.0832320000045,,,,,,,,,,,,,,,,,60.067328799981624,0.0006057999562472105,61.10131459997501,61.102107999962755,61.116669700015336,62.11662460002117,62.100137699977495,62.10056629998144,0.00043890008237212896,63.385069499956444,63.38629569998011,63.39999689999968,63.39999689999968,63.39999689999968,63.39999689999968,63.39999689999968,63.39999689999968,63.39999689999968,64.51806289993692,"[0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.024, 0.032, 0.04, 0.048, 0.056, 0.064, 0.072, 0.08, 0.088, 0.096, 0.104, 0.112, 0.12, 0.128, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208, 0.216, 0.224, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232]",None,None,['right'],[0.4606338000157848],[0.4480548999272287],up,1.1006950999144465,None,64.51850350003224,64.53333909995854,64.78334209998138,64.7668704999378,64.76726829994004,64.78334209998138,64.78334209998138,65.78337079996709,65.78337079996709,65.76689740002621,1,3,,,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
8,8,0,4,2,baseline,145,2.5,0.1,1.0,0.244,flat,flat_curv,0.0,0.0,-0.1,pen,input_data/stims/Shape_2.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,['left'],[0.29055040003731847],[0.3519968999316916],up,0.8427045999560505,None,0,0,0,0,0,8,8,25,65.78337079996709,,,,,,,,,,,,,,,,,65.7674952999223,0.0006012000376358628,66.70189989998471,66.70263169996906,66.71674659999553,67.7168159999419,67.70030799997039,67.70074739994016,0.0004512000596150756,69.03513959993143,69.03654010000173,69.05015469994396,69.05015469994396,69.05015469994396,69.05015469994396,69.05015469994396,69.05015469994396,69.05015469994396,69.90120850002859,"[0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.236, 0.228, 0.22, 0.212, 0.204, 0.196, 0.188, 0.18, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076]",None,None,['left'],[0.29055040003731847],[0.3519968999316916],up,0.8427045999560505,None,69.90157809993252,69.9168512999313,70.16683609993197,70.15036800003145,70.15076749993023,70.16683609993197,,71.16687029995956,,71.1503834000323,0,-3,,,,,70.16683609993197,71.16687029995956,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
9,9,0,4,2,baseline,158,3.9,0.38,3.0,0.284,flat,curv_flat,0.0,0.0,0.38,pen,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,['left'],[0.46699300000909716],[0.3600453999824822],up,0.9630425999639556,None,0,0,0,0,0,9,9,38,71.16687029995956,,,,,,,,,,,,,,,,,71.15099470003042,0.0006138000171631575,72.1855483999243,72.18633399996907,72.20025280001573,73.20024319994263,73.18379439995624,73.18421939993277,0.0004341000458225608,74.61939609993715,74.62064039998222,74.63365730002988,74.63365730002988,74.63365730002988,74.63365730002988,74.63365730002988,74.63365730002988,74.63365730002988,75.60134259995539,"[0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.276, 0.268, 0.26, 0.252, 0.244, 0.236, 0.228, 0.22, 0.212, 0.204, 0.196, 0.188, 0.18, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116]",None,None,['left'],[0.46699300000909716],[0.3600453999824822],up,0.9630425999639556,None,75.60174680000637,75.61703289998695,75.86699519993272,75.85051779996138,75.85090339998715,75.86699519993272,,76.86701579997316,,76.85058839991689,1,1,75.86699519993272,76.86701579997316,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
10,10,0,4,2,baseline,152,3.3,0.26,3.0,-0.1,flat,curv_flat,0.0,0.0,0.26,pen,input_data/stims/Shape_3.30_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,['right'],[0.36293440009467304],[0.38397590001113713],up,0.9389197001000866,None,0,0,0,0,0,10,10,32,76.86701579997316,,,,,,,,,,,,,,,,,76.85119299998041,0.0006074000848457217,77.73536789999343,77.73577329993714,77.75046299991664,78.75040609994903,78.73394149995875,78.73437900003046,0.00044890004210174084,80.01835979998577,80.01967009995133,80.0337889000075,80.0337889000075,80.0337889000075,80.0337889000075,80.0337889000075,80.0337889000075,80.0337889000075,80.98485429992434,"[-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084]",None,None,['right'],[0.36293440009467304],[0.38397590001113713],up,0.9389197001000866,None,80.98523689992726,81.00047259998973,81.25048789998982,81.23393649992067,81.23432229994796,81.25048789998982,,82.25050419999752,,82.23400219995528,1,1,81.25048789998982,82.25050419999752,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
11,11,0,4,2,baseline,154,3.5,0.3,3.0,-0.244,flat,curv_flat,0.0,0.0,0.3,pen,input_data/stims/Shape_3.50_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,1,up,17.719282099977136,None,up,0.9748283999506384,None,None,None,['right'],[0.8755479000974447],[0.7998496999498457],up,1.707342000096105,None,0,0,0,0,0,11,11,34,82.25050419999752,,,,,,,,,,,,,,,,,82.234595399932,0.0005969000048935413,83.119669699925,83.12045369995758,83.13388580002356,84.13389549998101,84.11743039998692,84.11785539996345,0.00043610006105154753,85.60169109993149,85.60316039994359,85.61731010000221,85.61731010000221,85.61731010000221,85.61731010000221,85.61731010000221,85.61731010000221,85.61731010000221,87.3350039999932,"[-0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.14, 0.14, 0.14]",None,None,['right'],[0.8755479000974447],[0.7998496999498457],up,1.707342000096105,None,87.33543139998801,87.3506637000246,87.60065959999338,87.58421070000622,87.58460800000466,87.60065959999338,,88.60069699992891,,88.5842581000179,1,1,87.60065959999338,88.60069699992891,,,,,,,,,,,,,,,,,,,,,202603,,B,2026-07-22_11h27.17.442,valence_final_v2,2024.2.4,60,2026-07-22 11h27.28.654970 -0600,
